class,text
0,receiv juncker signatur birthday million notci ttip ceta f3knbtnus8 surpris oppos
0,forev young
1,soeasytotakeapicwithatoddl girl 🌴 napl last emma 19wksandcount xb43rmsxaj ☀
1,bigclub alcqqsassi
0,cash anytim want use everi whatev toward accept need
1,
0,think year jridbimgyg maci
1,hard blow greatest ear start wednesday nose
1,proceed today court
1,🔫 love sarcasm morn awak 😀
0,😩 slow start morn
1,outdat unsightli power get wind
1,wake realli look final forward earli
1,listen open new love present background
1,occupi white peopl anonym sarcasm those supremaci support
1,chang mind thought ferguson well reason sarcasm argument complet well
0,still laugh yeah funni even
0,tootin somewher horn joke gotta
0,third gotta
1,last wayn tweet world great movi
0,place zero find karma raiola train
0,post 2667ms1bhz cash earn gvibiz gvibiz4zsh homebasedbusi tweet start cashforcontain
1,window 2000 thi oracl
1,last except trill final whoop class
0,everyth blame els
1,drop with price
0,song part along korean english sing
0,delet cntrl folk week offic work save
1,glad andi text love tweet back sarcasm
1,when critic sooth ironi massag massag review critic review sting masseus offer masseus
0,fair dictatorship free intellectu call show democraci parti
0,boomer dare accus
0,hungri good hungov
0,right function sleepdepriv
0,know liter
1,what ironi apart whine youthiacrasi
1,38hrutrf0r true
1,ironi correctli spell tell tweet fuck complet someon
1,solo make bottom charcoal real progress grey costum
1,ironi ghost 353pkro9yc soldier militari keepyourpromis iraq
1,start window nois excit mine made start
0,🎉 🎶 one 😆 love 🎅
0,need 🍷 wine rose
1,yesterday ironi concern thing ptikeptpakfirst peshawarattack today twitter seem nation
0,life whole
0,twig front complet snap newborn flip like hungri babi alik scream
0,never hope keep bcjdqqzo give bcjdqqzo1k success succ
1,tell today alreadi wonder sarcasm go
1,joke shot junior ironi
0,miser make hypocrit life atheistproblem closer reason weekend atheist serverproblem found
1,allyouneedisstyl monday tpuvqw7k4 ootd style tpuvqw todayimwear stay casual funday fashion
0,problemat shame done bless pakistan
1,awar rowl releas book trend sarcasm torturereport
1,local
1,say thank
1,electr decemb bill love gotta
1,still ironi stupidest dead meme perpetu
1,pretti when ironi retrica use filter pictur complain mani wali someon look
1,great
1,💨 💦 love decemb jeez ireland 👎 💧 morn
0,birthday need spot
0,think know
1,shoe make peopl leav smelli great love sarcasm smell
1,still right rush sarcasm attach dabo
1,😃 hair make great wind photo shoot
1,gotta work smellya love christma
1,struggl lack want dystocia reaction valid whenyouseeit geld sarcasm excus
1,critic ironi concept hate gamerg group proof porn spam harass love
1,get annoy thing come have everyon everi love work time sarcasm earli
1,thank
0,month reck anoth know countri put deserv clan even
0,right chocol ahaha make could someon
0,parti hell restaur wifi beach famili
1,type come hang finger love spider keyboard work 🙈
0,oxybfwwwb text fbpsjk fbpsjk6yyk oxybfwwwb6 either fgocr drive fgocrs5kr
1,crimin mean realli unbeliev sarcasm thug
0,uphil alway battl gonna
1,anyth like today feel
0,light nmye nmye90o4in nypd murder inspir icantbreath tuqxswnbup offic
0,dunk came closet rudygay
1,awesom drug school talk peopl
1,perfect 😷 realli 😫 time sick
1,funni
0,qmbu thing keep qmbu7eeag3 hardest know faith go
1,inform bush qrvvpvrjvh fulli realli method shock
0,your jedi trick mind glad drop instead chang work servic
1,worri enough often influenc societi wealth
0,
0,some sandinista tonight vinyl joestrumm here turntabl 2n3zjjzyqo
1,mate game yeah call teeth bottl take
0,never 2014 late start held back 2015 01ziuh8my
1,funni
0,like winter song insid fire love
1,drive concern enough school safeti cancel thank class
1,love sew8im7i0u sprint
0,finnish 7tfl9atecu wreathacrossamerica
1,place head nana sarcasm go
1,four thank teacher woohoo take test tomorrow
1,thi ironi class drop write last semest paper
0,workhors
1,blood xzuxjz9qsn circul more surgicalstock attract like xzuxjz prevent stop clot
0,limb sunderland
1,ironi fill natur peopl twitter give mother complain thank snow
1,cinnamon garmin reset know spill slowclap great go
0,relationship hate consist twitter messag fulfil gold wait written
0,need
0,mate chat 😆 facebook crack johni
1,network sarcasm weeeeee live xbox love playstat hacker christma
1,stake round announc offici market bidu next billion uber
0,christma sp5bmzz3t2 ebayipad sweater check ugli
1,sleep sotir abl love
1,xbox peopl ironi 😫 hack north korean live mani video game
1,green ironi mine past consult tweet tri timelin
1,loveeee care serious sarcasm much
1,awesom when slider gear know
0,brown 😂 dayumm chti dngdzhbkuh maaayuun
0,
0,faith singl stay stay
1,wake snow absolut love
0,suck believ
0,these transpar pearson what lack around public use express union topoli dollar repli
1,jet ironi mind pick nfldraft draft blow 2015
1,remind like date sarcasm need competit
0,deserv awesom well
1,satan vote 2016
0,moron
0,your femal male bring friend fool fuck
0,number that read make manag interest quit sure 2015
1,never ironi henryisalegend cross line know holierthanth goal
1,relat obviou case thing rape differ sarcasm cannot sentenc sadhvi isnt case thng
1,mother natur thank merri sarcasm christma
1,✌ what event
0,peac joyou costateguis pictur speak decemberchalleng beach home 1jxb5qcoxo
0,
0,mandat prime q9ntiflco5 shinzo recoveri want minist japan get
1,lnwqtxriuz tampon
1,hear
0,money u1fqx3qfh1 right algor christma ｆｏｌｌｏｗ would true burn nice globalwarm call
0,truli
1,test question love sarcasm morn
0,pmuxneovrn spudsh fresh fruit perth eat today sketch draw well
1,hockey sarcasm nation sussex drive expert join
0,look thi like ironi
0,zemirbeg famili speak shown
1,fitnessmotiv hurt realli good deadlift sarcasm trainer squat
0,wife princ thailand new resign royalti 0a1slm5k5k crown
0,concept emerg infin photo first quwybjwq quwybjwq6v vision
0,racism foment must racism divis democrat control pool conquer maintain divid liber
1,
1,peopl american feel
1,sarcasm good friend c1snyavvdp
1,
1,right ironi just floss inconveni
0,some reason given announc call wait media chosen expect found
0,😉
0,cloud remind call sysdig fascin dtrace 2000 world solari e3yyx07tgq day system linux earli
0,🙅 😁 realli done 💁 cool nail need 💅 tomorrow eyebrow slack
0,obviou glad approv clever idea
0,acatholicpray lord jesu replurk christ
1,nova warmer cold today freez scotia ilovecanada costadelsol frio
1,ironi road ft5vpvzcu0 new safeti campaign forest donkey kill
0,christma wrap 😕 chore 🎁 move best ars suppos anyth present
0,cshfjo women page appreci much cshfjo0tqo motiv awesom instagram rolemod thank support
0,stuff kpgul80o2g kpgul adapt submiss review comic academ nightmar snoopi paper
1,never kind constantli sell voicemail neighbor seat wonder ticket love sarcasm
0,meeeee happi zltxivb year zltxivb7qh
0,play morn nativ georgia
1,parol wife exist ironi want bodi ask grant sanjay dutt wherea husband wive meet
0,eat noch everyth 🙋 buena tabl
0,vol beatncstat anoth keep bball volnat go
0,still contempt spit sarcasm mockeri rose
1,upgrad want keep pictur mani
0,pleas nowplay tune chang relentlezz thi mv7gjcm7l3 alert
1,starv half world
0,like smile regret anyth made
0,uwviqcph uwviqcph8k dat winter
1,swic random question like creepi guy
1,love nation saudi relat human someon terrorist stop like obama sarcasm right cuba arabia
0,fuck watch 6p9bzfngpq young father daughter
1,
1,norespect johnni footbal think lewi marvin highli clearli
1,final place life love week bodi ruin drain much
1,by8fvyyyzr about final realli math write excit somethingrandom
0,find life first hour anoth good bless school pull doesnt start time mood
1,drag feet
0,mathi hbqil hbqil5kmq misti favourit johnni
1,bhootnaath scari film watch sarcasm bollywood
0,seriou effici airstrik news updat hbeab2hklw middl east hbeab assad read
1,hard fuck peopl work love tri sarcasm
1,deep neck today swamp went chilli
0,bosel1model2 2014 end kiddi show berkshir wrap
0,beckthi 8ofonvoqcn love littl see team better gonna play need state action
0,ujgpp ujgpp2lgal analqueenalysa four girl
1,noth like youcanthearit wait airport sarcasm
1,stoptalk annoy custom love
1,growup chemtrailsdontexist better aluminum sarcasm bust
0,😔 night
1,help sarcasm alway univers
1,head feel that sarcasm time
1,must embrac peac islam faith toler
1,invest today 😴 valu 😏 lectur sleepi sharehold excit
1,wait betarocks15 hour back home drive sarcasm
1,jn7kff2k18 gener outdo canteen swansea portion lunch left food price home well
1,sound like great sarcasm plan
1,thing standard alway doubl
0,sinc bean monstermmorpg seen parado monstermmorpg
0,shoe girl differ coat propos wear mayb
1,windshield burn today dead truck gonnahaveagoodday tongu chip coffe freeway
0,work ceeeeebz
0,sleep happi 😡 school
1,love
1,2014 error slightli differ earlier sarcasm admit nice stat
0,lesson thing given harm weaker teach made someon
1,day good
0,mirror mirror wall
1,alway self boost that great sarcasm esteem
0,pretti sure problem snowman
1,grandpar watch parent bill
1,babe 😂 yeah hair wi36fje5ex 8fxzpzw8qu nice
0,carolina pick beat win sheet tampa didn
0,insult stop guess
0,three soclumsi feet hall trip time
1,someth healthi redbul sarcasm today feel drink crap instead like newyearnewm totallystillgoingtodrinktheredbul
1,about fuck exam media actuallyihopeso
0,forum microfin lebanon 81ofgusdmc profit particip togetherwegrow almajmoua support
0,run whoever leagu twitter start line team account fire like yeovil fantasi look mxit town
1,axejcevq cop ironi loui store axejcevq1 arrest name break parti weisser teen
1,length
1,whole ironi electr illumin gener illumin india kashmir
1,popular yeah world demand champion british earth sport
1,spine least
1,walk ironi rain offic year wonder time mondaymorn pour sing
1,pretti black 2014mama boy sarcasm group stylish hahahaha went wear suit style best asian
1,someon sharp liberalment sarcasm paper
0,jonah funni hill
0,order decid court thursday milk retri ffxzpeaetm arizona lower appeal
1,doubt week better sarcasm could
0,truth iajmwd7yta commun damn iajmwd sarcasm
0,
0,some love zoella realli rest critic
0,work hoop bring d8oy6uctmf
1,transfer fund
1,room jump chang alreadi galliani
0,alex
1,modeltownnotforgotten ironi gonawazgo peopl justic fight speak protest
1,talent just rope takemeout sarcasm everi like climb super commando
1,globalartisthma go fail probabl yayi sarcasm mtvstar tomorrow direct
1,flesh blood alley make terribl smell feed
0,medic alcohol thi ambien sleep sleep like better ueun ueun8ofick
0,jump around would einstein strider time amus
1,bliss love
0,self finnishgirl riga last hotel 3svv5qcifq businesswoman
1,morn 😊 nice well go
1,jumper christma
1,mile run wake part armi favorit love everyday sarcasm
0,gxfsc say gxfsc1mqy5 growth weidmann 2015 better expect germani german
0,gtaa deal topoli that price negoti secreci built hidden
1,must leagu sarcasm good educ alot
0,news world lafir australian small live day stori
0,cri pleas z0yt6dax7
1,love sarcasm life
1,half deserv
0,protest peac earn stop forc livelihood
1,algorithm substr class most transform fast sarcasm learn fourier use find use
1,shakespear great 🙅 🔫
1,social said shamiwit activ where sydneysieg also gunman media sarcasm monitor
1,north song case anoth tell london away lad tyneweirsunday
1,game ironi hate crime decri back bosnian
1,book includ tabl onelovefestiv bottl r800
0,honeymoon
1,indoctrin say ironi hanniti rigid obama ideolog
1,odljzgv4vm ironi odljzgv though timehop
1,rooki pitcher total okay yeah overwork
1,govern constitut arbitrari court part prais ironi putin action defend 8wdrilv4cp
1,bmdjcrfmgi help person sarcasm couldnt
1,inspir truli watch liverpool love
0,beauti giveaway moder qbccghdoie playlist video review ad
0,procrastin gift search 🎁 christma
0,fraser birthday realli brendan brendanfraserbirthdaybash excit tomorrow
1,that
0,save money join make manag discount vacat 6mtjj6i7nf make
1,goodtv name caus quit eatenal show snake garbag hurt gotta
1,differ approach present stark secur report administr sarcasm former highlight
0,game wyuhzbcrwj bananabonanza serious need guy
1,sarcasm notic thank
1,well
0,glad work
0,whenev write word anyth immigr
0,gunna
1,probabl they
1,hour anoth good outag work less sarcasm keep
0,birthday tonight honor happi toast
0,liter vacat everi night plan entir
1,kevin durant shoot 23pt
1,alway stuff come condo cute super sarcasm look guy
0,
0,never skdar begin life easi color giveup goal bzmxe dont bzmxe0k98i
0,hand gotta
1,ironi give thank kany help unknown
1,😑 good thing teacher today scare clown kindergarten dress
1,😃 hair frozen
0,studi ironi principl also jurassicparkthelostworld chang whatev breakingbad jurassicworld uncertainti heisenberg
1,glad
0,quiksilvergoessuperson mind cool need night e1ya69hknc look parti
0,tulisa next xfactor year back hope
1,game soccer today 😂
0,fredo broke know heart
1,degrassi just around episod week watch eventu sarcasm realiz
0,13avcydxs6 skin dead your mif1tikzna seacret mall miner take shop year
1,
0,
0,wide right awak 😶
1,captaincourag show kohli scoobi gut
0,your affect live life keep opinion go
0,walk 👌 liragzvlyf that gome long
1,wait work christma
1,yayaayayayayay hour cant sleep ride sarcasm car
1,
1,class done latergram thegoldcoin
1,check chang java configur gazilion updat ask minut nice everi updat five time
0,teenanalcast oodcaadwux dana part 3x05 alic
1,workday thorough halfway sarcasm woooo
0,memori think second drown
1,oqsquao5a9 7dayservic effici youv hahahaha prioritymail love oqsquao servic
0,
1,thing walk favourit fanshaw build sarcasm go
0,argument moral butler
1,those wave epic
1,hypocrit ironi exposed2014 truth news conceiv boycott iron expos fake sponsor stori
0,tell would
1,sarcasm singl drop
0,explain 💯 even excit tomorrow 🏀
0,girl spice
0,gotten avail nailwrap have nailart wrap tree v9ubrho8if nail xma ft4t8e03c2
0,starter devolut 47morb9jpr welsh
1,alway special wordsofkind especi countonmoth impart
1,glad staff today terribl enough nohelp employ sarcasm
1,sleep hooray aaaaaaaaand back
1,violenc sarcasm illeg cours
1,alway just drywal dad want let christma
0,feel well
1,xmzzki thi number account xmzzki6kn6 absolutetosh sarcasm christma
0,itali reform first renzi approv iyhgkbcok plank labour cabinet
1,ironi
0,someth realli soon need shoot
1,also
0,dancemus casqnio8ka like download nightclub great qualiti free casqnio
0,damn know basebal thing
1,crimin attack logic life protect polic handsupdontshoot sarcasm offic properti support much
0,origin plan go
1,larg ironi compani lock away fine individu
0,definit philli south deck like seem upper
1,get midterm badday start great back
0,woot woot favorit activ friday whiteboard
1,lust strong differ sarcasm toomuch brief requir life need wear pant time
0,guest sign
0,well play matt well
1,sarcasm brigad where rodger
0,holi fuck
0,bulbiest monstermmorpg work follow porygon2 wild porygon found
0,ort6zyfghx 2n1edit
0,hope jest reckon
0,😔 today
0,dream champagneexcus open mcdonald becaus need grand excus
1,2xiwlufeg hacker worth korea expert north soni dalla hack fort doubt hack
0,raider thing tonight play guess
1,hello miss yaay think thank gone fool sarcasm much
1,holder ironi come rich word racebait trust obama mouth hypocrisi
1,when charg full she anyway railcard great show price tamworth valid servic
1,lwdlppudsj suddenli wada
0,sdn3w9kqvk ootd girl black sail style vsco cool tumblr cute rock punk selfi
1,candlelit romant ironi cost dinner switch cxnidmb would light cxnidmb3qn less eskom 1990
0,lawyr accordng
0,wenger need sorri quitt lad fan never year heard will
0,prayer answer
1,fail portabl last charger awesom hour charg anker fulli
1,pastur need water
0,uncl alabama sideway everi lmao crackhead look hbcu famili state
1,alway ironi aintnobodygottimeforthat seem respons attract
1,5eciip7d3j rock principalswag thang girl
0,christma done shop
1,autocorrect cthulhu funni help
0,other alway right class snack rais thought take think selfish love
1,littl public act sarcasm sonotclassi like whatev year idgaf classi immatur
0,januari ostrich rtw7qi7n2v punt updat
1,graffiti streetart ejafcmsira ironi sight michaelbeeren hide plain t3kvgtdbo9
0,cynic
1,awesom today
0,
1,
1,😒 wake randomli multipl love everyday time
1,sleep 2hr go shop christma
0,tune video stay drunk
1,referenc ironi american sign call blackpeopl racialprofil icantbreath hold protest
0,talk sould sorri thort twitter alot
1,girl realli know treat
0,theori uern schoolsystem uerns7ucom textbook lie evolut na81q6llgp updat support
1,thi chap must sex seem extrovert overli demeanor masculin sarcasm go voic
1,they ironi bombard countri immigr
1,stopwatchingthenew soooo deep narrowmind kecp andstoppreachingoffyoutub kecp9we6ya sarcasm
1,said like lawenforc realli sarcasm support sheriff clark
0,play feel that clean like took wall away game ref block
0,catwalk sheeran tune legend smash ginger victoria secret
0,anymor fella feel pain 👍 🎁 better 🎅 sick makin well
0,thing racist race
0,planner enter enter jglyhsmwiy lblogger left giveaway bblogger day
0,walk front mall group momma hear jesu love polli everyon even guy
0,okay snow
1,xma pleas instagram nobodycar die present
1,comedi ironi host kielti radio patrick award
1,😜 12rgzdqor3 instacraz addict
0,best ponder
1,within lifequot ironi copycatsay mind greatest invinc war world go
1,zone see school text love
0,whoissh lolol
0,hgoilgofo last beth tell forev gonna waitlov love much
0,walkingdead breath bloodi issu forget walk dead good watch main
0,sweati time
0,love becom citi until athlet
0,😖 earli awak
0,acha buddi kupotea boss wassup everyth hizo how notcool look nayo
1,sinc public culpa done great sarcasm happen
1,must sorri realli teacher feel ador gave look
1,karmicthought improv sarcasm skill wiseword gift
1,sarcasm girl matur
1,xma white tree sarcasm maroon
1,hdgfxg hdgfxg7elf ironi hire staff sure
1,love time exhaust work
1,hate peopl random rsjucgrhjv favth
0,kmdqn kmdqn0iz3p express problem tribun
0,😂 ignor educ heheh 😍 clear
0,research obama worship steveharvey
1,wait noonegivesafuck peopl pic brag
1,benedryl yippe run liter drug sarcasm happi reaction save million everi live year 330am allerg
0,quizfreak xh84tdhpoc brummi proud
1,😑 final just submit class deal make break pass 👎 sarcasm semest whether paper
1,grand donut platter breakfast ironi offer obes dyslipidemia therapi statin round pediatr grand
1,than stomach upset upset sarcasm more
0,work desert sarcasm hockey
0,ohio onwisconsin put state match
1,read peopl privat love facebook sarcasm repli messag
0,pair 😄 birthday boot mean like ineednewboot need
1,first care great journal sieg end sarcasm ever get
0,speed scienc hump 🚀 brickwork tarmac instead disintegr
1,f2xmasparti a8xolft1ub ranger sarcasm power
1,what sarcasm good start year
1,sit 😒 hall
0,need rodger
0,ltwy7dhzff comfi pleas chair mind ikea d0taum1huh ltwi nope decor
0,thing world gorgeou think star ✨
0,wait engag lmao good newton foolisha year night byyer
0,godmoth baptism 💋 ootd 2rsoehsv0b 👸 ladi athenakairalyn 💃 ❤ love ✨
0,know
0,ordersvu rapper
1,alway last love open present famili
1,nervou cours
0,take
0,iceland haha
1,😒 😄 knee love click
1,ironi white peopl stand uniti
1,imped shocker free rock suck market socialist franc capit sarcasm uber
0,finalsweek eyyodv2anv finalsweekgotmelik eyyodv stop make final
1,alway trip walmart mess sarcasm
1,viewer sarcasm yeah fuck
0,like ingredi specif more
1,glad awesom
0,that wanna
0,
1,pretti alway call know nice year
0,sort quip news appl joke expect guy
0,mostli store
1,extend tell idea peopl trade best ever extend
1,protect blog tjp2kap9du nypd feel icantbreath safe
0,moustach professor uneven
1,repli mean
1,readi took hour work night
0,shovel driveway today becom givingback help come
0,notreal gb7wecittd life lcsbeauti lblogger daili basi sarcasm followm
1,seem sarcasm turnt
0,game sleep next leak oeyqk4fa0g oeyqk acvictori wake
0,help fool wrong heaven
1,wanna countri ride hate ironi differ mani plane
1,ironi actor befor lord becom
1,teeth rebond mouth
0,dang thing ummm pleas tonight great look christma
1,raini goshen anoth surpris concert ☔ night 🎻
1,hundr declar irrelev come ironi indian everi polit tweet kejriw write
0,teeth sink fail
1,politician while scuffl ironi pakarmi xzje pakarmi xzje4fxclf busi salut malign
1,sarcasm work hatewhenthingsdontworkright
1,class western sarcasm cold love
0,classic blackberri k4fid6dpr4 articl excit check smartphon
0,lbb7vzv6yx go
0,iheartradio zcptj stage flzjinglebal zcptj6s5qn tampa
0,last alright life fall aqywhabsja asleep night could dream
1,tire final wide realli your best love isnt awak
1,lesson whoooo tourism favourit travel sarcasm morn
0,movi girl upcom drambarish oxvfdavxl oxvfdavxl4 friend
0,youkili porcello redsox bring rememb drop year back youk charg mound
0,they alway find inde team amaz dcrise love scrap
0,size proudli would wear hahaha
1,never diego come sarcasm amaz home
1,disloc part shoulder around socket abl feel favorit roll
1,essay christmasshop morn success
0,shenanigan brotherskeep knock jfppe sketchi smile whosonfirst funtim digniti jfppe1pmsp holiday knock
0,tri bust cold desper
1,still window never fixit hibern more comput updat microsoft worthless sleep sarcasm fail
1,fill turn alreadi wait sarcasm applic
